Designator,Mid X,Mid Y,Rotation,Layer
C1,164.795015,-72.510022,270.0,top
C10,143.268726,-104.172523,270.0,top
C11,144.768725,-104.172523,270.0,top
C12,146.295015,-104.172523,270.0,top
C13,159.881225,-106.672523,0.0,top
C14,159.881225,-105.172523,0.0,top
C15,145.268725,-106.672523,180.0,top
C16,153.071947,-110.236802,270.0,top
C17,151.571949,-110.236801,270.0,top
C18,159.878725,-108.172523,0.0,top
C19,166.257515,-122.172523,0.0,top
C2,135.018725,-71.422523,180.0,top
C3,135.268725,-97.422523,180.0,top
C4,159.881225,-103.672523,0.0,top
C5,159.881225,-102.172523,180.0,top
C6,159.881225,-100.672523,180.0,top
C7,159.873934,-99.131102,180.0,top
C8,151.018725,-97.172523,270.0,top
C9,145.195015,-100.810022,90.0,top
FB1,145.195015,-95.572523,90.0,top
FB2,142.445015,-95.572523,270.0,top
R1,166.268725,-76.422523,90.0,top
R2,166.257515,-115.672523,0.0,top
R3,167.257515,-118.172523,90.0,top
R4,166.257515,-120.672523,0.0,top
RCAL1,131.483725,-101.192523,180.0,top
RCAL2,131.483725,-103.692523,180.0,top
RCAL3,131.483725,-106.192523,180.0,top
TP1,136.295015,-119.922523,0.0,top
U1,152.768725,-103.922523,180.0,top
U2,153.388725,-79.449944,90.0,top
