time_s,current_A,raw_hex
0.0000,2.9160e-06,0x0000820D
0.0200,6.7206e-07,0x00008079
0.0400,5.5542e-08,0x0000800A
0.0600,5.5542e-08,0x0000800A
0.0800,5.5542e-08,0x0000800A
0.1000,5.5542e-08,0x0000800A
0.1200,5.5542e-08,0x0000800A
0.1400,5.5542e-08,0x0000800A
0.1600,5.5542e-08,0x0000800A
0.1800,5.5542e-08,0x0000800A
0.2000,5.5542e-08,0x0000800A
0.2200,5.5542e-08,0x0000800A
0.2400,5.5542e-08,0x0000800A
0.2600,5.5542e-08,0x0000800A
0.2800,5.5542e-08,0x0000800A
0.3000,5.5542e-08,0x0000800A
0.3200,5.5542e-08,0x0000800A
0.3400,5.5542e-08,0x0000800A
0.3600,5.5542e-08,0x0000800A
0.3800,5.5542e-08,0x0000800A
0.4000,5.5542e-08,0x0000800A
0.4200,5.5542e-08,0x0000800A
0.4400,5.5542e-08,0x0000800A
0.4600,5.5542e-08,0x0000800A
0.4800,5.5542e-08,0x0000800A
