# SteiStat CV | E2_rcal1000_0
# v_start_mV=-200 v_stop_mV=200 estep_mV=5 scan_rate_mV_s=200 cycles=1
# fRcal_set_ohm=1000 rtia_calibrated_ohm=2673.866
# cell=we-C Randles Rs=560.0 Rct=10000.0 Cdl=3.3e-08
potential_mV,current_uA
-204.6900,-7.890000
-199.8500,-7.710000
-195.0200,-7.530000
-190.1800,-7.330000
-185.3500,-7.150000
-180.5100,-6.970000
-175.6800,-6.790000
-170.8400,-6.590000
-166.0100,-6.410000
-161.1700,-6.210000
-156.3400,-6.030000
-151.5000,-5.850000
-146.6700,-5.650000
-141.8300,-5.470000
-137.0000,-5.290000
-132.1600,-5.100000
-127.3300,-4.910000
-122.4900,-4.730000
-117.6600,-4.540000
-112.8200,-4.360000
-107.9900,-4.170000
-103.1500,-3.980000
-98.3200,-3.800000
-93.4800,-3.620000
-88.6400,-3.420000
-83.8100,-3.240000
-78.9700,-3.040000
-74.1400,-2.860000
-69.3000,-2.680000
-64.4700,-2.500000
-59.6300,-2.300000
-54.8000,-2.120000
-49.9600,-1.930000
-45.1300,-1.750000
-40.2900,-1.560000
-35.4600,-1.370000
-30.6200,-1.190000
-25.7900,-0.990000
-20.9500,-0.810000
-16.1200,-0.630000
-11.2800,-0.450000
-6.4500,-0.250000
-1.6100,-0.070000
3.2200,0.110000
8.0600,0.310000
12.8900,0.490000
17.7300,0.680000
22.5600,0.870000
27.4000,1.050000
32.2300,1.240000
37.0700,1.420000
41.9000,1.610000
46.7400,1.800000
51.5800,1.980000
56.4100,2.160000
61.2500,2.360000
66.0800,2.540000
70.9200,2.720000
75.7500,2.920000
80.5900,3.100000
85.4200,3.300000
90.2600,3.460000
95.0900,3.660000
99.9300,3.840000
104.7600,4.040000
109.6000,4.220000
114.4300,4.400000
119.2700,4.590000
124.1000,4.780000
128.9400,4.970000
133.7700,5.150000
138.6100,5.330000
143.4400,5.530000
148.2800,5.710000
153.1100,5.890000
157.9500,6.070000
162.7800,6.270000
167.6200,6.450000
172.4500,6.650000
177.2900,6.830000
182.1200,7.010000
186.9600,7.190000
182.1200,7.010000
177.2900,6.830000
172.4500,6.650000
167.6200,6.450000
162.7800,6.270000
157.9500,6.070000
153.1100,5.890000
148.2800,5.700000
143.4400,5.530000
138.6100,5.330000
133.7700,5.140000
128.9400,4.960000
124.1000,4.780000
119.2700,4.590000
114.4300,4.400000
109.6000,4.220000
104.7600,4.040000
99.9300,3.840000
95.0900,3.660000
90.2600,3.480000
85.4200,3.300000
80.5900,3.100000
75.7500,2.900000
70.9200,2.720000
66.0800,2.540000
61.2500,2.360000
56.4100,2.160000
51.5800,1.980000
46.7400,1.800000
41.9000,1.610000
37.0700,1.420000
32.2300,1.240000
27.4000,1.060000
22.5600,0.870000
17.7300,0.680000
12.8900,0.490000
8.0600,0.310000
3.2200,0.130000
-1.6100,-0.070000
-6.4500,-0.250000
-11.2800,-0.430000
-16.1200,-0.630000
-20.9500,-0.810000
-25.7900,-0.990000
-30.6200,-1.190000
-35.4600,-1.370000
-40.2900,-1.560000
-45.1300,-1.750000
-49.9600,-1.930000
-54.8000,-2.120000
-59.6300,-2.300000
-64.4700,-2.490000
-69.3000,-2.680000
-74.1400,-2.860000
-78.9700,-3.040000
-83.8100,-3.240000
-88.6400,-3.420000
-93.4800,-3.600000
-98.3200,-3.800000
-103.1500,-3.980000
-107.9900,-4.160000
-112.8200,-4.360000
-117.6600,-4.540000
-122.4900,-4.730000
-127.3300,-4.910000
-132.1600,-5.100000
-137.0000,-5.290000
-141.8300,-5.470000
-146.6700,-5.650000
-151.5000,-5.850000
-156.3400,-6.030000
-161.1700,-6.210000
-166.0100,-6.410000
-170.8400,-6.590000
-175.6800,-6.770000
-180.5100,-6.970000
-185.3500,-7.150000
-190.1800,-7.330000
-195.0200,-7.530000
-199.8500,-7.710000
-204.6900,-7.900000
-209.5200,-8.080000
