# HunStat2 CV | E2_rcal4700_2
# v_start_mV=-200 v_stop_mV=200 estep_mV=5 scan_rate_mV_s=200 cycles=1
# fRcal_set_ohm=4700 rtia_calibrated_ohm=2680.557
# cell=we-C Randles Rs=560.0 Rct=10000.0 Cdl=3.3e-08
potential_mV,current_uA
-204.6900,-7.880000
-199.8500,-7.690000
-195.0200,-7.510000
-190.1800,-7.310000
-185.3500,-7.130000
-180.5100,-6.950000
-175.6800,-6.750000
-170.8400,-6.570000
-166.0100,-6.380000
-161.1700,-6.200000
-156.3400,-6.020000
-151.5000,-5.840000
-146.6700,-5.650000
-141.8300,-5.460000
-137.0000,-5.260000
-132.1600,-5.080000
-127.3300,-4.900000
-122.4900,-4.720000
-117.6600,-4.530000
-112.8200,-4.350000
-107.9900,-4.160000
-103.1500,-3.970000
-98.3200,-3.790000
-93.4800,-3.590000
-88.6400,-3.410000
-83.8100,-3.230000
-78.9700,-3.040000
-74.1400,-2.860000
-69.3000,-2.670000
-64.4700,-2.480000
-59.6300,-2.300000
-54.8000,-2.120000
-49.9600,-1.920000
-45.1300,-1.740000
-40.2900,-1.560000
-35.4600,-1.360000
-30.6200,-1.180000
-25.7900,-0.990000
-20.9500,-0.810000
-16.1200,-0.630000
-11.2800,-0.430000
-6.4500,-0.250000
-1.6100,-0.070000
3.2200,0.130000
8.0600,0.310000
12.8900,0.490000
17.7300,0.680000
22.5600,0.860000
27.4000,1.060000
32.2300,1.240000
37.0700,1.420000
41.9000,1.600000
46.7400,1.800000
51.5800,1.980000
56.4100,2.160000
61.2500,2.350000
66.0800,2.530000
70.9200,2.730000
75.7500,2.910000
80.5900,3.090000
85.4200,3.290000
90.2600,3.470000
95.0900,3.650000
99.9300,3.840000
104.7600,4.030000
109.6000,4.210000
114.4300,4.390000
119.2700,4.580000
124.1000,4.760000
128.9400,4.940000
133.7700,5.130000
138.6100,5.320000
143.4400,5.500000
148.2800,5.700000
153.1100,5.880000
157.9500,6.060000
162.7800,6.250000
167.6200,6.430000
172.4500,6.620000
177.2900,6.810000
182.1200,6.990000
186.9600,7.170000
182.1200,6.990000
177.2900,6.810000
172.4500,6.620000
167.6200,6.430000
162.7800,6.250000
157.9500,6.060000
153.1100,5.880000
148.2800,5.700000
143.4400,5.520000
138.6100,5.320000
133.7700,5.130000
128.9400,4.940000
124.1000,4.760000
119.2700,4.580000
114.4300,4.400000
109.6000,4.210000
104.7600,4.030000
99.9300,3.840000
95.0900,3.650000
90.2600,3.470000
85.4200,3.290000
80.5900,3.090000
75.7500,2.910000
70.9200,2.720000
66.0800,2.530000
61.2500,2.350000
56.4100,2.160000
51.5800,1.980000
46.7400,1.800000
41.9000,1.600000
37.0700,1.420000
32.2300,1.240000
27.4000,1.060000
22.5600,0.860000
17.7300,0.680000
12.8900,0.490000
8.0600,0.310000
3.2200,0.130000
-1.6100,-0.070000
-6.4500,-0.250000
-11.2800,-0.430000
-16.1200,-0.630000
-20.9500,-0.810000
-25.7900,-0.990000
-30.6200,-1.180000
-35.4600,-1.360000
-40.2900,-1.550000
-45.1300,-1.740000
-49.9600,-1.920000
-54.8000,-2.120000
-59.6300,-2.300000
-64.4700,-2.480000
-69.3000,-2.670000
-74.1400,-2.860000
-78.9700,-3.040000
-83.8100,-3.230000
-88.6400,-3.410000
-93.4800,-3.610000
-98.3200,-3.790000
-103.1500,-3.970000
-107.9900,-4.160000
-112.8200,-4.350000
-117.6600,-4.540000
-122.4900,-4.720000
-127.3300,-4.900000
-132.1600,-5.080000
-137.0000,-5.280000
-141.8300,-5.460000
-146.6700,-5.640000
-151.5000,-5.840000
-156.3400,-6.020000
-161.1700,-6.200000
-166.0100,-6.390000
-170.8400,-6.570000
-175.6800,-6.750000
-180.5100,-6.940000
-185.3500,-7.130000
-190.1800,-7.310000
-195.0200,-7.490000
-199.8500,-7.690000
-204.6900,-7.880000
-209.5200,-8.060000
