# SteiStat CV | E3_scan800
# v_start_mV=-200 v_stop_mV=200 estep_mV=20 scan_rate_mV_s=800 cycles=1
# fRcal_set_ohm=200.0 rtia_calibrated_ohm=1093.017
# cell=we-C Randles Rs=560.0 Rct=10000.0 Cdl=3.3e-08
potential_mV,current_uA
-219.7300,-20.730000
-199.8500,-18.850000
-179.9800,-16.980000
-160.1000,-15.100000
-140.2200,-13.250000
-120.3400,-11.340000
-100.4600,-9.460000
-80.5900,-7.580000
-60.7100,-5.740000
-40.8300,-3.860000
-20.9500,-1.980000
-1.0700,-0.100000
18.8000,1.780000
38.6800,3.650000
58.5600,5.500000
78.4400,7.380000
98.3200,9.260000
118.1900,11.130000
138.0700,13.010000
157.9500,14.890000
138.0700,12.980000
118.1900,11.130000
98.3200,9.260000
78.4400,7.380000
58.5600,5.500000
38.6800,3.650000
18.8000,1.780000
-1.0700,-0.100000
-20.9500,-1.980000
-40.8300,-3.860000
-60.7100,-5.740000
-80.5900,-7.620000
-100.4600,-9.500000
-120.3400,-11.370000
-140.2200,-13.250000
-160.1000,-15.100000
-179.9800,-16.980000
-199.8500,-18.850000
-219.7300,-20.730000
-239.6100,-22.610000
