# HunStat2 CV | E4_window200
# v_start_mV=-200 v_stop_mV=200 estep_mV=5 scan_rate_mV_s=200 cycles=1
# fRcal_set_ohm=200.0 rtia_calibrated_ohm=1093.012
# cell=we-C Randles Rs=560.0 Rct=10000.0 Cdl=3.3e-08
potential_mV,current_uA
-204.6900,-19.330000
-199.8500,-18.890000
-195.0200,-18.410000
-190.1800,-17.970000
-185.3500,-17.520000
-180.5100,-17.040000
-175.6800,-16.600000
-170.8400,-16.120000
-166.0100,-15.680000
-161.1700,-15.230000
-156.3400,-14.760000
-151.5000,-14.310000
-146.6700,-13.870000
-141.8300,-13.390000
-137.0000,-12.950000
-132.1600,-12.470000
-127.3300,-12.020000
-122.4900,-11.580000
-117.6600,-11.130000
-112.8200,-10.660000
-107.9900,-10.210000
-103.1500,-9.730000
-98.3200,-9.290000
-93.4800,-8.850000
-88.6400,-8.400000
-83.8100,-7.920000
-78.9700,-7.480000
-74.1400,-7.040000
-69.3000,-6.560000
-64.4700,-6.110000
-59.6300,-5.640000
-54.8000,-5.190000
-49.9600,-4.750000
-45.1300,-4.270000
-40.2900,-3.830000
-35.4600,-3.380000
-30.6200,-2.900000
-25.7900,-2.460000
-20.9500,-1.980000
-16.1200,-1.540000
-11.2800,-1.090000
-6.4500,-0.610000
-1.6100,-0.170000
3.2200,0.270000
8.0600,0.750000
12.8900,1.200000
17.7300,1.640000
22.5600,2.120000
27.4000,2.560000
32.2300,3.010000
37.0700,3.480000
41.9000,3.930000
46.7400,4.370000
51.5800,4.850000
56.4100,5.290000
61.2500,5.740000
66.0800,6.220000
70.9200,6.660000
75.7500,7.100000
80.5900,7.580000
85.4200,8.030000
90.2600,8.470000
95.0900,8.950000
99.9300,9.390000
104.7600,9.870000
109.6000,10.320000
114.4300,10.760000
119.2700,11.240000
124.1000,11.680000
128.9400,12.130000
133.7700,12.600000
138.6100,13.050000
143.4400,13.530000
148.2800,13.940000
153.1100,14.410000
157.9500,14.860000
162.7800,15.340000
167.6200,15.780000
172.4500,16.220000
177.2900,16.700000
182.1200,17.150000
186.9600,17.590000
182.1200,17.150000
177.2900,16.670000
172.4500,16.220000
167.6200,15.780000
162.7800,15.340000
157.9500,14.860000
153.1100,14.410000
148.2800,13.940000
143.4400,13.490000
138.6100,13.050000
133.7700,12.570000
128.9400,12.130000
124.1000,11.680000
119.2700,11.240000
114.4300,10.760000
109.6000,10.320000
104.7600,9.870000
99.9300,9.390000
95.0900,8.950000
90.2600,8.500000
85.4200,8.060000
80.5900,7.580000
75.7500,7.140000
70.9200,6.660000
66.0800,6.220000
61.2500,5.770000
56.4100,5.290000
51.5800,4.850000
46.7400,4.410000
41.9000,3.930000
37.0700,3.480000
32.2300,3.040000
27.4000,2.600000
22.5600,2.120000
17.7300,1.670000
12.8900,1.230000
8.0600,0.750000
3.2200,0.310000
-1.6100,-0.170000
-6.4500,-0.610000
-11.2800,-1.090000
-16.1200,-1.540000
-20.9500,-1.980000
-25.7900,-2.460000
-30.6200,-2.900000
-35.4600,-3.350000
-40.2900,-3.830000
-45.1300,-4.270000
-49.9600,-4.710000
-54.8000,-5.190000
-59.6300,-5.640000
-64.4700,-6.080000
-69.3000,-6.560000
-74.1400,-7.000000
-78.9700,-7.450000
-83.8100,-7.920000
-88.6400,-8.370000
-93.4800,-8.850000
-98.3200,-9.290000
-103.1500,-9.730000
-107.9900,-10.210000
-112.8200,-10.660000
-117.6600,-11.100000
-122.4900,-11.580000
-127.3300,-12.020000
-132.1600,-12.470000
-137.0000,-12.950000
-141.8300,-13.390000
-146.6700,-13.870000
-151.5000,-14.310000
-156.3400,-14.760000
-161.1700,-15.230000
-166.0100,-15.680000
-170.8400,-16.120000
-175.6800,-16.600000
-180.5100,-17.040000
-185.3500,-17.520000
-190.1800,-17.970000
-195.0200,-18.410000
-199.8500,-18.850000
-204.6900,-19.330000
-209.5200,-19.780000
