# SteiStat CV | E4_window600
# v_start_mV=-600 v_stop_mV=600 estep_mV=5 scan_rate_mV_s=200 cycles=1
# fRcal_set_ohm=200.0 rtia_calibrated_ohm=1093.069
# cell=we-C Randles Rs=560.0 Rct=10000.0 Cdl=3.3e-08
potential_mV,current_uA
-604.4000,-56.970000
-599.5600,-56.530000
-594.7300,-56.050000
-589.8900,-55.640000
-585.0600,-55.160000
-580.2200,-54.720000
-575.3800,-54.240000
-570.5500,-53.790000
-565.7100,-53.350000
-560.8800,-52.870000
-556.0400,-52.430000
-551.2100,-51.980000
-546.3700,-51.500000
-541.5400,-51.060000
-536.7000,-50.620000
-531.8700,-50.140000
-527.0300,-49.690000
-522.2000,-49.220000
-517.3600,-48.770000
-512.5300,-48.330000
-507.6900,-47.850000
-502.8600,-47.410000
-498.0200,-46.960000
-493.1900,-46.480000
-488.3500,-46.040000
-483.5200,-45.600000
-478.6800,-45.150000
-473.8500,-44.670000
-469.0100,-44.230000
-464.1800,-43.750000
-459.3400,-43.310000
-454.5100,-42.860000
-449.6700,-42.420000
-444.8400,-41.940000
-440.0000,-41.500000
-435.1600,-41.020000
-430.3300,-40.580000
-425.4900,-40.130000
-420.6600,-39.650000
-415.8200,-39.210000
-410.9900,-38.730000
-406.1500,-38.290000
-401.3200,-37.840000
-396.4800,-37.360000
-391.6500,-36.920000
-386.8100,-36.480000
-381.9800,-36.000000
-377.1400,-35.550000
-372.3100,-35.080000
-367.4700,-34.670000
-362.6400,-34.190000
-357.8000,-33.740000
-352.9700,-33.270000
-348.1300,-32.820000
-343.3000,-32.380000
-338.4600,-31.900000
-333.6300,-31.460000
-328.7900,-31.010000
-323.9600,-30.570000
-319.1200,-30.090000
-314.2900,-29.650000
-309.4500,-29.200000
-304.6200,-28.720000
-299.7800,-28.280000
-294.9500,-27.800000
-290.1100,-27.360000
-285.2700,-26.910000
-280.4400,-26.440000
-275.6000,-25.990000
-270.7700,-25.510000
-265.9300,-25.070000
-261.1000,-24.630000
-256.2600,-24.180000
-251.4300,-23.700000
-246.5900,-23.260000
-241.7600,-22.820000
-236.9200,-22.340000
-232.0900,-21.890000
-227.2500,-21.450000
-222.4200,-20.970000
-217.5800,-20.530000
-212.7500,-20.080000
-207.9100,-19.640000
-203.0800,-19.160000
-198.2400,-18.720000
-193.4100,-18.240000
-188.5700,-17.790000
-183.7400,-17.350000
-178.9000,-16.910000
-174.0700,-16.430000
-169.2300,-15.980000
-164.4000,-15.510000
-159.5600,-15.060000
-154.7300,-14.620000
-149.8900,-14.140000
-145.0500,-13.700000
-140.2200,-13.250000
-135.3800,-12.770000
-130.5500,-12.330000
-125.7100,-11.890000
-120.8800,-11.410000
-116.0400,-10.960000
-111.2100,-10.490000
-106.3700,-10.040000
-101.5400,-9.600000
-96.7000,-9.150000
-91.8700,-8.680000
-87.0300,-8.230000
-82.2000,-7.790000
-77.3600,-7.310000
-72.5300,-6.870000
-67.6900,-6.390000
-62.8600,-5.940000
-58.0200,-5.460000
-53.1900,-5.020000
-48.3500,-4.580000
-43.5200,-4.100000
-38.6800,-3.650000
-33.8500,-3.210000
-29.0100,-2.770000
-24.1800,-2.290000
-19.3400,-1.840000
-14.5100,-1.400000
-9.6700,-0.920000
-4.8400,-0.480000
0.0000,0.000000
4.8400,0.440000
9.6700,0.890000
14.5100,1.370000
19.3400,1.810000
24.1800,2.250000
29.0100,2.730000
33.8500,3.180000
38.6800,3.620000
43.5200,4.060000
48.3500,4.540000
53.1900,4.990000
58.0200,5.460000
62.8600,5.910000
67.6900,6.350000
72.5300,6.830000
77.3600,7.270000
82.2000,7.720000
87.0300,8.200000
91.8700,8.640000
96.7000,9.090000
101.5400,9.560000
106.3700,10.040000
111.2100,10.490000
116.0400,10.930000
120.8800,11.370000
125.7100,11.850000
130.5500,12.300000
135.3800,12.740000
140.2200,13.220000
145.0500,13.660000
149.8900,14.110000
154.7300,14.580000
159.5600,15.030000
164.4000,15.510000
169.2300,15.950000
174.0700,16.390000
178.9000,16.840000
183.7400,17.320000
188.5700,17.760000
193.4100,18.200000
198.2400,18.650000
203.0800,19.130000
207.9100,19.570000
212.7500,20.010000
217.5800,20.490000
222.4200,20.940000
227.2500,21.380000
232.0900,21.860000
236.9200,22.300000
241.7600,22.780000
246.5900,23.230000
251.4300,23.670000
256.2600,24.150000
261.1000,24.590000
265.9300,25.040000
270.7700,25.510000
275.6000,25.960000
280.4400,26.400000
285.2700,26.880000
290.1100,27.320000
294.9500,27.770000
299.7800,28.250000
304.6200,28.690000
309.4500,29.130000
314.2900,29.610000
319.1200,30.060000
323.9600,30.500000
328.7900,30.940000
333.6300,31.420000
338.4600,31.870000
343.3000,32.310000
348.1300,32.790000
352.9700,33.230000
357.8000,33.710000
362.6400,34.150000
367.4700,34.600000
372.3100,35.080000
377.1400,35.520000
381.9800,35.960000
386.8100,36.440000
391.6500,36.890000
396.4800,37.330000
401.3200,37.810000
406.1500,38.250000
410.9900,38.730000
415.8200,39.180000
420.6600,39.620000
425.4900,40.100000
430.3300,40.540000
435.1600,40.990000
440.0000,41.430000
444.8400,41.910000
449.6700,42.350000
454.5100,42.800000
459.3400,43.270000
464.1800,43.720000
469.0100,44.160000
473.8500,44.640000
478.6800,45.080000
483.5200,45.560000
488.3500,46.010000
493.1900,46.450000
498.0200,46.890000
502.8600,47.370000
507.6900,47.820000
512.5300,48.260000
517.3600,48.740000
522.2000,49.220000
527.0300,49.660000
531.8700,50.100000
536.7000,50.580000
541.5400,51.030000
546.3700,51.470000
551.2100,51.950000
556.0400,52.390000
560.8800,52.840000
565.7100,53.280000
570.5500,53.760000
575.3800,54.200000
580.2200,54.650000
585.0500,55.130000
589.8900,55.570000
585.0500,55.130000
580.2200,54.650000
575.3800,54.200000
570.5500,53.760000
565.7100,53.280000
560.8800,52.840000
556.0400,52.390000
551.2100,51.950000
546.3700,51.470000
541.5400,51.030000
536.7000,50.550000
531.8700,50.100000
527.0300,49.660000
522.2000,49.180000
517.3600,48.740000
512.5300,48.290000
507.6900,47.820000
502.8600,47.370000
498.0200,46.890000
493.1900,46.450000
488.3500,46.010000
483.5200,45.560000
478.6800,45.080000
473.8500,44.640000
469.0100,44.160000
464.1800,43.720000
459.3400,43.270000
454.5100,42.800000
449.6700,42.350000
444.8400,41.910000
440.0000,41.430000
435.1600,40.990000
430.3300,40.540000
425.4900,40.100000
420.6600,39.620000
415.8200,39.180000
410.9900,38.700000
406.1500,38.250000
401.3200,37.810000
396.4800,37.330000
391.6500,36.890000
386.8100,36.440000
381.9800,35.960000
377.1400,35.520000
372.3100,35.040000
367.4700,34.600000
362.6400,34.150000
357.8000,33.710000
352.9700,33.230000
348.1300,32.790000
343.3000,32.340000
338.4600,31.870000
333.6300,31.420000
328.7900,30.980000
323.9600,30.500000
319.1200,30.060000
314.2900,29.610000
309.4500,29.130000
304.6200,28.690000
299.7800,28.250000
294.9500,27.770000
290.1100,27.320000
285.2700,26.850000
280.4400,26.400000
275.6000,25.960000
270.7700,25.480000
265.9300,25.040000
261.1000,24.590000
256.2600,24.150000
251.4300,23.670000
246.5900,23.230000
241.7600,22.780000
236.9200,22.300000
232.0900,21.860000
227.2500,21.380000
222.4200,20.940000
217.5800,20.490000
212.7500,20.010000
207.9100,19.570000
203.0800,19.130000
198.2400,18.650000
193.4100,18.200000
188.5700,17.760000
183.7400,17.280000
178.9000,16.840000
174.0700,16.390000
169.2300,15.920000
164.4000,15.470000
159.5600,15.030000
154.7300,14.550000
149.8900,14.110000
145.0500,13.660000
140.2200,13.180000
135.3800,12.740000
130.5500,12.300000
125.7100,11.820000
120.8800,11.370000
116.0400,10.930000
111.2100,10.490000
106.3700,10.010000
101.5400,9.560000
96.7000,9.120000
91.8700,8.640000
87.0300,8.200000
82.2000,7.720000
77.3600,7.270000
72.5300,6.830000
67.6900,6.350000
62.8600,5.910000
58.0200,5.460000
53.1900,4.990000
48.3500,4.540000
43.5200,4.100000
38.6800,3.620000
33.8500,3.180000
29.0100,2.730000
24.1800,2.290000
19.3400,1.810000
14.5100,1.370000
9.6700,0.890000
4.8400,0.440000
0.0000,0.000000
-4.8400,-0.480000
-9.6700,-0.920000
-14.5100,-1.370000
-19.3400,-1.810000
-24.1800,-2.290000
-29.0100,-2.730000
-33.8500,-3.210000
-38.6800,-3.650000
-43.5200,-4.100000
-48.3500,-4.580000
-53.1900,-5.020000
-58.0200,-5.460000
-62.8600,-5.940000
-67.6900,-6.420000
-72.5300,-6.870000
-77.3600,-7.310000
-82.2000,-7.790000
-87.0300,-8.230000
-91.8700,-8.680000
-96.7000,-9.120000
-101.5400,-9.600000
-106.3700,-10.040000
-111.2100,-10.490000
-116.0400,-10.960000
-120.8800,-11.410000
-125.7100,-11.890000
-130.5500,-12.330000
-135.3800,-12.770000
-140.2200,-13.220000
-145.0500,-13.700000
-149.8900,-14.140000
-154.7300,-14.620000
-159.5600,-15.060000
-164.4000,-15.510000
-169.2300,-15.950000
-174.0700,-16.430000
-178.9000,-16.870000
-183.7400,-17.350000
-188.5700,-17.790000
-193.4100,-18.240000
-198.2400,-18.720000
-203.0800,-19.160000
-207.9100,-19.600000
