# SteiStat CV | E5_estep10
# v_start_mV=-200 v_stop_mV=200 estep_mV=10 scan_rate_mV_s=200 cycles=1
# fRcal_set_ohm=200.0 rtia_calibrated_ohm=1093.004
# cell=we-C Randles Rs=560.0 Rct=10000.0 Cdl=3.3e-08
potential_mV,current_uA
-210.0600,-19.840000
-199.8500,-18.890000
-189.6500,-17.900000
-179.4400,-16.940000
-169.2300,-15.990000
-159.0200,-14.990000
-148.8200,-14.070000
-138.6100,-13.080000
-128.4000,-12.130000
-118.1900,-11.170000
-107.9900,-10.210000
-97.7800,-9.260000
-87.5700,-8.300000
-77.3600,-7.310000
-67.1600,-6.350000
-56.9500,-5.400000
-46.7400,-4.440000
-36.5300,-3.450000
-26.3200,-2.490000
-16.1200,-1.540000
-5.9100,-0.580000
4.3000,0.410000
14.5100,1.370000
24.7100,2.320000
34.9200,3.280000
45.1300,4.240000
55.3400,5.190000
65.5400,6.150000
75.7500,7.100000
85.9600,8.100000
96.1700,9.050000
106.3700,10.010000
116.5800,10.960000
126.7900,11.950000
137.0000,12.910000
147.2000,13.870000
157.4100,14.820000
167.6200,15.780000
177.8300,16.740000
167.6200,15.780000
157.4100,14.820000
147.2000,13.870000
137.0000,12.910000
126.7900,11.920000
116.5800,10.960000
106.3700,10.010000
96.1700,9.050000
85.9600,8.100000
75.7500,7.100000
65.5400,6.150000
55.3400,5.190000
45.1300,4.240000
34.9200,3.280000
24.7100,2.320000
14.5100,1.370000
4.3000,0.410000
-5.9100,-0.580000
-16.1200,-1.540000
-26.3200,-2.490000
-36.5300,-3.480000
-46.7400,-4.440000
-56.9500,-5.400000
-67.1600,-6.350000
-77.3600,-7.310000
-87.5700,-8.270000
-97.7800,-9.260000
-107.9900,-10.210000
-118.1900,-11.170000
-128.4000,-12.130000
-138.6100,-13.080000
-148.8200,-14.040000
-159.0200,-15.030000
-169.2300,-15.990000
-179.4400,-16.940000
-189.6500,-17.900000
-199.8500,-18.850000
-210.0600,-19.840000
-220.2700,-20.800000
